region_name,latitude,longitude,date,year,month,avg_temperature_c,rainfall_mm,humidity_percent,ndvi,water_body_index,population,mosquito_density,healthcare_access_score,poverty_index,climate_anomaly_score,malaria_cases,malaria_incidence_rate,outbreak_flag
Kaduna,8.0621,12.4987,2023-03-01,2023,3,27.8,190.41,76.61,0.666,0.594,2086915,124.1,37.05,61.09,-0.24,534,25.59,1
Enugu,4.1283,10.2989,2020-02-01,2020,2,27.19,67.54,75.01,0.574,0.364,183554,97.53,62.24,48.96,-0.22,418,227.73,0
Niger,8.6263,9.2133,2025-09-01,2025,9,32.17,19.88,87.46,0.239,0.431,2014956,122.25,54.43,47.19,-0.28,509,25.26,1
Kano,13.5935,12.2377,2025-03-01,2025,3,27.23,209.95,67.29,0.456,1.0,1785416,105.01,62.24,34.51,0.73,527,29.52,1
Kano,6.3831,10.9449,2020-11-01,2020,11,28.7,146.03,64.19,0.642,0.619,1366870,112.4,55.36,72.26,1.15,633,46.31,1
Kano,12.9241,9.8724,2018-02-01,2018,2,31.02,97.24,86.85,0.449,0.69,956739,122.09,54.59,48.33,-1.46,579,60.52,1
Lagos,6.633,8.958,2024-09-01,2024,9,23.96,184.87,62.12,0.565,0.174,2056032,86.38,68.28,43.62,-3.87,446,21.69,0
Enugu,6.5841,5.9315,2025-01-01,2025,1,25.28,193.65,98.0,0.518,0.435,1783309,119.4,77.15,32.5,0.04,490,27.48,0
Kaduna,9.9109,5.6988,2022-05-01,2022,5,23.43,81.92,65.24,0.708,0.31,2563518,79.61,99.49,9.9,-0.19,254,9.91,0
Rivers,8.8644,9.5653,2024-09-01,2024,9,31.45,86.74,76.8,0.5,0.895,1153913,119.75,59.29,29.06,-0.11,442,38.3,0
Benue,5.3408,13.4526,2022-01-01,2022,1,24.04,113.76,78.8,0.642,0.612,2252575,90.18,76.21,35.93,0.95,397,17.62,0
Plateau,4.3864,10.7613,2020-02-01,2020,2,30.46,137.51,64.19,0.708,0.492,888003,95.41,70.22,35.69,1.33,446,50.23,0
Borno,4.7541,10.6592,2021-09-01,2021,9,31.77,77.23,79.13,0.261,0.37,2785264,114.37,75.65,50.34,1.33,560,20.11,1
Kaduna,4.093,3.5795,2021-03-01,2021,3,35.79,89.49,66.94,0.52,0.557,2179885,127.9,28.72,44.82,-0.2,547,25.09,1
Kano,9.7733,6.0499,2023-02-01,2023,2,27.26,77.78,80.63,0.32,0.666,229352,123.37,63.11,43.06,0.08,503,219.31,1
Enugu,4.4601,7.225,2024-02-01,2024,2,29.41,165.49,75.97,0.325,0.626,2058954,107.48,96.81,73.41,-0.86,565,27.44,1
Kaduna,6.1934,8.9067,2019-01-01,2019,1,32.64,290.24,71.37,0.638,0.609,376916,120.83,76.25,26.88,1.46,538,142.74,1
Kano,13.4288,4.2042,2023-10-01,2023,10,30.72,130.75,80.45,0.853,0.582,2416610,115.38,69.57,37.43,0.82,481,19.9,0
Niger,10.8352,10.4815,2021-09-01,2021,9,32.15,176.9,71.3,0.425,0.362,2559155,106.11,67.42,76.35,0.51,540,21.1,1
Niger,7.199,9.1583,2021-10-01,2021,10,27.15,77.83,72.79,0.578,0.737,2410731,105.6,56.45,57.16,0.28,516,21.4,1
Benue,10.9401,3.7409,2023-04-01,2023,4,22.57,204.48,69.41,0.607,0.813,2962825,118.77,59.01,58.57,-0.07,597,20.15,1
Benue,4.8073,10.4855,2020-08-01,2020,8,24.16,196.14,72.78,0.378,0.477,2855843,102.57,69.5,14.49,-1.04,433,15.16,0
Borno,6.2536,5.3442,2021-02-01,2021,2,28.22,113.56,74.18,0.718,0.569,1828254,115.39,66.85,77.53,-3.72,572,31.29,1
Plateau,5.8175,8.0831,2018-03-01,2018,3,23.72,173.4,69.26,0.48,0.235,1854673,92.53,77.32,32.31,1.49,408,22.0,0
Kano,7.8464,8.2793,2025-10-01,2025,10,23.25,186.34,78.72,0.622,0.495,1931175,89.1,51.43,38.53,0.07,460,23.82,0
Lagos,11.6029,13.3536,2024-02-01,2024,2,28.19,82.81,61.15,0.384,0.684,771001,106.95,68.29,72.99,1.39,482,62.52,0
Kano,12.5355,10.855,2024-04-01,2024,4,26.26,216.03,88.17,0.58,0.915,202360,128.83,49.66,40.56,-1.82,709,350.37,1
Borno,8.6969,9.7732,2019-01-01,2019,1,26.94,34.79,73.14,0.706,0.601,534410,100.79,30.04,22.44,0.85,433,81.02,0
Sokoto,6.5253,8.0889,2024-07-01,2024,7,29.2,176.78,56.36,0.415,0.188,2834372,112.32,90.03,76.37,-2.32,575,20.29,1
Anambra,13.7229,6.1224,2021-06-01,2021,6,24.17,50.0,70.1,0.643,0.405,1307949,95.88,80.82,33.99,-1.01,442,33.79,0
Kebbi,7.9692,9.5221,2022-12-01,2022,12,33.44,197.23,61.75,0.711,0.709,1086548,104.43,55.57,67.15,-1.06,545,50.16,1
Kaduna,7.2427,7.9366,2019-02-01,2019,2,25.34,158.91,80.88,0.567,0.352,1992811,108.58,40.43,38.57,3.12,556,27.9,1
Borno,9.4698,8.939,2024-07-01,2024,7,27.04,100.42,62.63,0.644,0.538,1347076,103.17,46.58,84.43,-0.32,599,44.47,1
Cross River,8.7907,10.3355,2021-07-01,2021,7,31.32,70.49,77.77,0.452,0.715,1733541,118.38,57.54,61.1,-1.83,566,32.65,1
Kebbi,10.0549,12.558,2024-10-01,2024,10,26.65,132.91,86.06,0.728,0.628,1380228,104.04,42.85,61.78,2.72,540,39.12,1
Enugu,13.5763,7.476,2023-03-01,2023,3,28.96,158.74,80.64,0.603,0.163,2632117,103.77,45.99,63.03,-0.21,614,23.33,1
Niger,7.6816,6.2656,2024-03-01,2024,3,23.98,223.26,86.72,0.854,0.675,1078400,113.46,27.65,5.0,2.65,496,45.99,0
Cross River,10.071,8.0984,2024-06-01,2024,6,30.95,107.77,70.46,0.547,0.269,1704753,83.33,37.01,12.39,0.26,328,19.24,0
Anambra,11.3194,10.8704,2023-10-01,2023,10,31.96,134.24,76.29,0.607,0.257,2917340,95.27,52.77,29.92,-0.42,431,14.77,0
Rivers,13.1101,8.8549,2020-03-01,2020,3,25.51,139.6,78.16,0.54,0.518,804950,125.21,79.72,25.62,0.83,499,61.99,0
Cross River,5.8152,13.0953,2021-06-01,2021,6,25.53,118.52,79.77,0.208,0.549,2372312,102.78,93.76,56.59,1.74,406,17.11,0
Plateau,11.5455,9.123,2023-12-01,2023,12,25.43,69.67,79.36,0.684,0.617,1295129,112.19,70.22,89.45,-1.86,547,42.24,1
Kano,6.1241,4.0529,2020-09-01,2020,9,28.13,118.73,59.63,0.59,0.792,2941005,125.61,34.72,36.3,-1.04,596,20.27,1
Plateau,11.1003,3.174,2021-03-01,2021,3,31.13,96.55,81.81,0.509,0.35,2782384,99.29,73.02,12.37,2.37,297,10.67,0
Anambra,8.3356,12.1505,2023-08-01,2023,8,26.44,142.6,81.31,0.317,0.281,2376341,85.5,70.99,42.13,-0.79,386,16.24,0
Enugu,4.8699,13.5783,2021-08-01,2021,8,31.93,180.72,59.44,0.277,0.033,2334146,103.09,52.51,46.46,1.17,574,24.59,1
Enugu,4.8734,11.308,2019-10-01,2019,10,28.4,118.38,64.29,0.417,0.359,1915690,97.07,56.42,46.2,-2.42,506,26.41,1
Plateau,12.5587,4.7794,2023-08-01,2023,8,29.1,247.1,75.26,0.18,0.677,137468,121.11,25.59,63.38,-0.44,696,506.3,1
Anambra,12.0236,6.5478,2022-04-01,2022,4,30.14,136.56,55.31,0.517,0.295,743045,93.38,64.53,34.67,1.4,425,57.2,0
Oyo,5.3246,13.5943,2023-08-01,2023,8,29.52,131.99,75.64,0.254,0.312,914645,120.04,57.84,11.87,1.88,337,36.84,0
Kano,6.0752,8.3306,2018-10-01,2018,10,29.94,244.23,62.69,0.511,0.346,959711,92.87,51.59,45.31,-1.09,552,57.52,1
Rivers,9.165,7.6869,2020-12-01,2020,12,23.9,113.85,87.08,0.503,0.676,1291597,123.47,71.43,33.66,-0.58,488,37.78,0
Oyo,10.6736,5.0866,2018-10-01,2018,10,23.4,210.76,63.06,0.627,0.222,2551002,92.84,48.57,68.93,-0.24,491,19.25,0
Rivers,7.1818,11.1109,2020-10-01,2020,10,21.09,100.76,89.71,0.519,0.366,2776016,107.29,75.6,51.5,-0.25,457,16.46,0
Borno,8.8554,7.2498,2024-03-01,2024,3,23.47,110.73,85.11,0.53,0.379,537510,88.73,58.86,37.69,0.28,372,69.21,0
Benue,11.5916,10.2751,2022-04-01,2022,4,26.65,101.27,86.86,0.658,0.699,2799336,114.46,48.65,40.77,-0.18,561,20.04,1
Sokoto,11.8274,6.221,2018-10-01,2018,10,28.17,147.19,82.46,0.639,0.329,1668702,107.31,65.39,49.6,-1.36,471,28.23,0
Kebbi,5.6041,6.0117,2025-05-01,2025,5,28.63,165.84,62.88,0.72,0.43,356094,117.4,68.24,61.75,-1.22,551,154.73,1
Cross River,5.7698,3.5924,2018-07-01,2018,7,31.37,81.87,92.3,0.595,0.564,367875,134.52,49.77,34.43,0.88,569,154.67,1
Niger,9.3139,9.4938,2019-10-01,2019,10,22.3,133.66,82.53,0.607,0.758,2712761,112.72,70.1,71.54,0.37,598,22.04,1
Rivers,12.6222,10.2332,2025-12-01,2025,12,31.3,78.99,90.45,0.692,0.637,1539493,130.9,26.8,49.62,0.35,669,43.46,1
Rivers,11.4114,12.2617,2024-03-01,2024,3,28.69,9.28,90.64,0.362,0.365,597993,95.22,70.08,16.63,-2.64,424,70.9,0
Akwa Ibom,4.9113,9.4702,2021-09-01,2021,9,34.64,109.5,90.42,0.851,0.912,2999281,125.13,78.13,77.12,2.34,642,21.41,1
Cross River,11.692,10.7845,2024-04-01,2024,4,28.27,255.01,70.68,0.417,0.331,231360,98.19,57.97,75.27,0.95,705,304.72,1
Rivers,11.6994,4.3017,2019-08-01,2019,8,31.44,109.0,93.85,0.781,0.402,2313089,137.32,43.21,55.23,-1.28,750,32.42,1
Enugu,13.1102,11.6084,2024-09-01,2024,9,26.25,59.4,47.86,0.43,0.531,1386921,65.09,64.98,49.11,-0.57,305,21.99,0
Akwa Ibom,4.5613,5.4775,2023-10-01,2023,10,27.18,72.33,71.81,0.547,0.677,1017561,123.29,49.61,63.27,-1.2,562,55.23,1
Borno,8.7782,3.3697,2024-01-01,2024,1,28.3,66.48,82.37,0.508,0.513,1334294,116.58,67.74,68.2,-0.57,632,47.37,1
Oyo,13.5996,4.5946,2022-10-01,2022,10,25.49,173.78,78.07,0.53,0.335,738725,101.07,57.54,65.35,3.99,564,76.35,1
Enugu,9.3267,3.899,2022-01-01,2022,1,24.78,15.23,70.52,0.852,0.854,2240421,102.33,44.48,63.89,-1.03,450,20.09,0
Kaduna,11.7811,8.4698,2023-04-01,2023,4,30.53,105.53,82.95,0.671,0.305,2672221,121.23,66.89,39.16,-2.34,511,19.12,1
Lagos,8.8786,4.1602,2021-06-01,2021,6,31.12,165.27,76.13,0.334,0.684,1960947,108.68,49.98,26.13,-1.69,515,26.26,1
Kebbi,5.548,10.6549,2024-10-01,2024,10,26.07,210.48,72.34,0.623,0.391,1918388,115.03,52.26,60.64,0.85,562,29.3,1
Kebbi,12.6477,11.8396,2019-07-01,2019,7,29.56,128.72,64.38,0.614,0.463,582726,102.06,74.79,52.8,-1.16,503,86.32,1
Kebbi,13.5399,6.7052,2018-05-01,2018,5,29.45,113.19,77.77,0.66,0.278,583634,103.51,47.4,46.4,1.56,485,83.1,0
Plateau,11.047,7.6213,2023-02-01,2023,2,28.75,158.7,63.58,0.852,0.816,2334139,104.23,67.7,53.07,-0.04,516,22.11,1
Kano,7.0862,3.042,2023-06-01,2023,6,25.23,165.15,72.76,0.461,0.433,162782,110.36,66.49,65.57,-1.98,602,369.82,1
Niger,6.5508,12.9791,2024-07-01,2024,7,30.02,302.42,57.95,0.208,0.528,2273650,108.07,76.51,71.15,-0.57,592,26.04,1
Cross River,4.2663,13.6287,2025-04-01,2025,4,29.16,87.09,80.41,0.683,0.701,1374667,119.96,90.85,34.28,1.21,569,41.39,1
Cross River,6.3706,3.1364,2024-09-01,2024,9,22.34,109.48,64.46,0.39,0.69,907342,98.79,85.66,42.91,-0.25,483,53.23,0
Oyo,12.1475,9.5888,2021-12-01,2021,12,28.8,176.34,76.9,0.7,0.0,2370715,98.99,70.17,43.48,1.31,424,17.88,0
Rivers,5.6717,13.4292,2025-09-01,2025,9,32.3,110.98,66.89,0.608,0.645,320914,130.92,49.89,53.48,0.22,622,193.82,1
Lagos,10.2142,3.7803,2023-12-01,2023,12,25.77,58.64,72.8,0.24,0.59,1809980,115.67,41.4,94.69,-1.05,647,35.75,1
Lagos,12.1665,12.2832,2023-02-01,2023,2,27.07,41.73,70.08,0.349,0.384,2442919,96.33,72.81,65.76,0.13,463,18.95,0
Benue,8.4159,13.2237,2019-07-01,2019,7,26.89,66.8,78.44,0.665,0.668,2404476,106.38,42.52,58.76,0.63,566,23.54,1
Rivers,11.8435,10.2893,2025-10-01,2025,10,28.58,80.92,72.95,0.679,0.727,2480721,124.35,47.81,69.53,1.74,500,20.16,1
Plateau,10.2337,13.0462,2019-02-01,2019,2,30.86,148.55,75.58,0.438,0.161,2837136,106.7,50.32,41.28,-1.15,418,14.73,0
Cross River,12.2869,10.6174,2021-02-01,2021,2,33.52,84.57,85.01,0.449,0.778,723218,123.86,56.25,88.82,-2.07,670,92.64,1
Benue,4.1206,7.0706,2021-12-01,2021,12,27.77,106.54,62.33,0.557,0.419,857744,101.98,61.94,25.71,-0.65,397,46.28,0
Borno,7.3379,3.7888,2020-11-01,2020,11,22.95,81.55,58.71,0.741,0.878,1534209,105.27,53.07,35.52,-0.02,439,28.61,0
Rivers,4.3822,3.3405,2020-02-01,2020,2,24.71,105.58,72.41,0.79,0.612,1251700,106.24,55.57,43.13,0.34,537,42.9,1
Borno,13.6433,6.1725,2024-01-01,2024,1,27.68,160.74,80.29,0.244,0.537,1631420,94.48,42.3,57.76,0.75,500,30.65,1
Niger,5.7363,8.5819,2022-03-01,2022,3,24.66,185.13,62.58,0.575,0.565,1242931,120.87,54.63,50.84,1.35,635,51.09,1
Oyo,5.4502,12.3781,2025-01-01,2025,1,29.57,147.4,91.64,0.784,0.381,2071770,113.31,28.53,31.43,0.11,668,32.24,1
Plateau,13.5022,13.4402,2018-12-01,2018,12,25.27,130.28,55.75,0.538,1.0,959245,85.34,41.33,33.09,2.06,592,61.72,1
Kano,12.4827,13.7881,2024-09-01,2024,9,31.58,107.05,80.56,0.563,0.461,1967043,105.47,57.73,24.54,-1.19,391,19.88,0
Oyo,13.521,5.4282,2019-01-01,2019,1,30.66,188.82,97.4,0.619,0.717,1765880,123.79,67.35,27.11,-1.03,595,33.69,1
Anambra,11.2311,12.1756,2023-07-01,2023,7,26.08,159.51,81.97,0.727,0.617,1436689,102.25,66.74,40.55,-1.31,542,37.73,1
Rivers,4.2401,6.3675,2020-06-01,2020,6,34.33,188.43,67.84,0.6,0.405,1859595,106.67,69.42,53.95,-1.13,559,30.06,1
Kano,7.9328,6.2177,2021-03-01,2021,3,26.59,87.02,86.5,0.592,0.205,2051676,95.62,63.87,11.94,1.8,392,19.11,0
Lagos,8.9302,7.9428,2022-07-01,2022,7,33.4,230.56,63.95,0.667,0.669,1113319,114.04,68.39,55.48,-2.61,654,58.74,1
Sokoto,12.6435,12.0616,2024-06-01,2024,6,25.11,201.83,82.07,0.69,0.677,1161127,106.03,63.14,61.5,-1.3,550,47.37,1
Lagos,9.5368,12.532,2019-07-01,2019,7,30.58,138.75,56.2,0.372,0.537,2179593,99.0,66.91,46.57,-0.83,473,21.7,0
Oyo,12.58,5.0109,2019-09-01,2019,9,26.03,103.71,97.41,0.488,0.015,2565967,98.71,59.55,16.12,-3.44,344,13.41,0
Borno,11.5222,7.5815,2023-11-01,2023,11,28.98,149.54,71.29,0.866,0.445,388540,112.8,65.48,58.46,-0.25,509,131.0,1
Enugu,7.8723,10.8453,2021-08-01,2021,8,28.58,118.65,69.56,0.526,0.508,112507,110.9,44.97,50.97,-0.95,521,463.08,1
Kano,10.952,13.4373,2025-02-01,2025,2,29.98,110.74,81.17,0.605,0.478,2585232,115.52,52.67,66.07,-1.09,677,26.19,1
Plateau,5.2304,3.1864,2024-04-01,2024,4,30.02,172.22,84.81,0.439,0.068,2822605,115.39,63.83,80.42,2.76,754,26.71,1
Rivers,4.2312,12.8842,2022-03-01,2022,3,30.01,179.26,58.99,0.426,0.479,1656734,109.1,35.35,48.45,-0.66,546,32.96,1
Anambra,9.2012,10.1605,2018-05-01,2018,5,30.52,312.22,81.62,0.42,0.667,2260840,128.54,63.78,52.87,2.12,635,28.09,1
Cross River,7.804,10.4154,2023-08-01,2023,8,25.57,61.16,72.37,0.275,0.566,2969665,87.41,69.3,53.99,0.3,417,14.04,0
Cross River,8.0733,6.3211,2022-06-01,2022,6,25.9,231.88,76.08,0.612,0.238,2584622,99.49,62.87,16.52,-0.4,477,18.46,0
Enugu,5.9299,13.4657,2021-05-01,2021,5,28.14,151.88,95.24,0.346,0.538,2275541,119.34,50.07,55.97,-0.87,642,28.21,1
Kano,11.4216,4.7784,2020-10-01,2020,10,33.41,115.96,88.92,0.726,0.546,662181,129.76,41.95,51.12,1.58,648,97.86,1
Borno,6.241,9.978,2020-04-01,2020,4,25.91,68.52,70.3,0.59,0.413,1859858,122.64,59.01,95.0,-2.2,622,33.44,1
Rivers,13.0006,13.4602,2025-10-01,2025,10,22.4,208.39,79.06,0.313,0.776,756673,113.13,41.33,54.74,0.99,548,72.42,1
Akwa Ibom,8.2275,10.9108,2025-09-01,2025,9,22.2,278.05,73.18,0.576,0.676,678889,104.82,57.72,41.22,1.38,632,93.09,1
Sokoto,6.502,6.2526,2025-09-01,2025,9,26.71,134.21,60.94,0.41,0.478,1452222,113.4,75.51,53.73,0.61,438,30.16,0
Cross River,10.4156,4.6675,2019-12-01,2019,12,28.33,212.59,69.96,0.538,0.57,99976,125.41,52.69,32.0,0.2,506,506.12,1
Cross River,5.9951,3.111,2018-07-01,2018,7,30.98,117.75,69.06,0.405,0.662,1252060,127.12,80.07,10.48,-1.02,374,29.87,0
Benue,5.7798,7.0804,2022-03-01,2022,3,32.38,44.13,75.85,0.429,0.334,1588814,108.38,67.84,10.03,0.2,508,31.97,1
Lagos,13.3022,9.9538,2023-08-01,2023,8,28.52,69.63,66.53,0.631,0.49,2232926,107.13,66.73,38.59,2.69,468,20.96,0
Anambra,6.6859,11.8778,2022-09-01,2022,9,26.33,67.82,85.58,0.691,0.627,758672,86.84,61.32,41.34,-2.95,422,55.62,0
Rivers,4.1574,11.6039,2019-06-01,2019,6,28.77,107.87,75.54,0.95,0.561,1083668,116.38,87.64,58.98,0.63,484,44.66,0
Kaduna,7.8862,4.4489,2019-07-01,2019,7,24.65,71.75,85.6,0.643,0.637,2012434,104.57,39.51,18.09,1.02,413,20.52,0
Borno,7.0064,6.8825,2022-05-01,2022,5,23.43,218.28,68.15,0.527,0.359,692927,99.82,73.98,69.75,-1.74,544,78.51,1
Rivers,11.1882,4.2781,2022-06-01,2022,6,30.01,177.96,74.73,0.51,0.578,2542356,116.77,60.58,51.82,-1.93,475,18.68,0
Anambra,6.0123,8.3134,2018-03-01,2018,3,25.23,72.12,75.88,0.609,0.483,1210117,103.75,62.79,36.98,2.81,389,32.15,0
Oyo,10.8972,7.1059,2020-10-01,2020,10,23.03,331.38,82.78,0.929,0.931,884874,122.04,45.34,56.03,0.51,599,67.69,1
Kano,10.6651,7.4897,2020-06-01,2020,6,28.13,111.94,80.72,0.541,0.725,325049,115.53,54.99,28.37,1.05,614,188.89,1
Benue,7.205,12.7906,2022-06-01,2022,6,28.78,149.29,77.64,0.321,0.744,2503159,116.48,75.54,66.19,0.77,555,22.17,1
Kebbi,4.756,13.0229,2023-09-01,2023,9,25.08,39.15,90.96,0.795,0.204,903329,102.55,43.03,54.99,0.71,558,61.77,1
Kebbi,10.0445,11.1717,2018-03-01,2018,3,28.46,280.66,81.83,0.519,0.715,1333440,124.98,95.46,36.59,2.04,606,45.45,1
Enugu,8.3369,10.1425,2021-04-01,2021,4,26.35,194.99,68.1,0.551,0.659,347986,101.7,59.75,79.98,-1.53,557,160.06,1
Niger,11.7079,13.3678,2018-05-01,2018,5,30.57,203.82,88.59,0.514,0.874,1942628,130.16,30.22,39.57,0.23,645,33.2,1
Kebbi,11.9314,11.6499,2020-08-01,2020,8,23.84,252.0,67.61,0.386,0.405,543992,102.37,75.5,53.35,1.27,534,98.16,1
Kaduna,8.3043,9.716,2020-06-01,2020,6,29.42,75.72,64.63,0.662,0.522,1037797,122.25,86.17,5.0,0.83,340,32.76,0
